"","SurveyResponseID","Qdemosage","Qdemoshispanic","Qdemosrace","Qdemoseducation","Qdemosincome","Qdemosgender","Qsexualorientation","Qdemosstate","Qamazonusehowmany","Qamazonusehhsize","Qamazonusehowoft","Qsubstanceusecigarettes","Qsubstanceusemarijuana","Qsubstanceusealcohol","Qpersonaldiabetes","Qpersonalwheelchair","Qlifechanges","QsellYOURdata","Qsellconsumerdata","Qsmallbizuse","Qcensususe","Qresearchsociety","ShippingAddressState","TOTAL_EXCERCISE_SPENT","MORE_THAN_AVERAGE","HAS_PURCHASED_MOTHERBOARD","HAS_PURCHASED_GOLF_BAG","HAS_PURCHASED_TOYS_AND_GAMES","HAS_PURCHASED_SUGAR_CANDY","HAS_PURCHASED_SKATEBOARD","HAS_PURCHASED_GAMES","HAS_PURCHASED_AMAZON_BOOK_READER","HAS_PURCHASED_WEARABLE_COMPUTER","HAS_PURCHASED_PET_SUPPLIES","HAS_PURCHASED_SPORTING_GOODS","HAS_PURCHASED_ABIS_BOOK","HAS_PURCHASED_HEADPHONES","HAS_PURCHASED_PHYSICAL_VIDEO_GAME_SOFTWARE","HAS_PURCHASED_SNACK_CHIP_AND_CRISP","HAS_PURCHASED_DOWNLOADABLE_VIDEO_GAME","HAS_PURCHASED_OUTDOOR_LIVING","HAS_PURCHASED_COOKIE","HAS_PURCHASED_MEAT","HAS_PURCHASED_SWIMWEAR","HAS_PURCHASED_FOOD_STORAGE_CONTAINER","HAS_PURCHASED_MASSAGER","HAS_PURCHASED_WEIGH_SCALE","HAS_PURCHASED_SPEAKERS","HAS_PURCHASED_PLANNER","HAS_PURCHASED_INSTRUMENT_PARTS_AND_ACCESSORIES","HAS_PURCHASED_MEDICATION","HAS_PURCHASED_VEGETABLE","HAS_PURCHASED_VITAMIN","HAS_PURCHASED_PET_FOOD","HAS_PURCHASED_SKIN_MOISTURIZER","HAS_PURCHASED_COFFEE","HAS_PURCHASED_PHYSICAL_MOVIE","HAS_PURCHASED_NUTRITIONAL_SUPPLEMENT","HAS_PURCHASED_SKIN_CLEANING_AGENT","HAS_PURCHASED_HERBAL_SUPPLEMENT","HAS_PURCHASED_MINERAL_SUPPLEMENT","HAS_PURCHASED_PROTEIN_DRINK","HAS_PURCHASED_PROTEIN_SUPPLEMENT_POWDER","HAS_PURCHASED_DIETARY_SUPPLEMENTS","HAS_PURCHASED_ABIS_SPORTS","HAS_PURCHASED_HEALTH_FOOD","HAS_PURCHASED_SPORTS_DRINK"
"1","R_1OqVCuM7fGds9xh","45 - 54 years","No","White or Caucasian","High school diploma or GED","$100,000 - $149,999","Male","heterosexual (straight)","Indiana","1 (just me!)","4+","Less than 5 times per month","Yes","Yes","Yes","Yes","No","Lost a job ,Moved place of residence","Yes if I get part of the profit","Yes if consumers get part of the profit","I don't know","I don't know","Yes","IN",8.99,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,1
"2","R_1QtQEfi1VAWgRM0","35 - 44 years","No","White or Caucasian","High school diploma or GED","$75,000 - $99,999","Female","heterosexual (straight)","Pennsylvania","1 (just me!)","2","More than 10 times per month","No","No","No","No","No","","No","No","No","No","No","PA",96.43,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1
"3","R_1nOCbm9LVjgq65b","35 - 44 years","No","Black or African American","High school diploma or GED","$50,000 - $74,999","Female","heterosexual (straight)","North Carolina","1 (just me!)","3","5 - 10 times per month","No","No","Yes","No","No","","Yes if I get part of the profit","Yes if consumers get part of the profit","Yes","Yes","Yes","NC",0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1
"4","R_3GiWheWDtygg0V2","25 - 34 years","No","White or Caucasian","Bachelor's degree","$25,000 - $49,999","Female","heterosexual (straight)","Ohio","4+","3","More than 10 times per month","Yes","Yes","Yes","Yes","No","Lost a job ,Became pregnant","No","No","Yes","I don't know","Yes","OH",19.82,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1
"5","R_2DSy6NpOABvLOqK","25 - 34 years","No","White or Caucasian","High school diploma or GED","$25,000 - $49,999","Male","heterosexual (straight)","Illinois","1 (just me!)","1 (just me!)","Less than 5 times per month","No","No","Yes","No","No","Moved place of residence","Yes if I get part of the profit","No","I don't know","No","No","IL",56.93,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
"6","R_40KnDXH2kMNEFoZ","35 - 44 years","No","White or Caucasian,American Indian/Native American or Alaska Native","High school diploma or GED","$25,000 - $49,999","Female","heterosexual (straight)","Kansas","2","3","5 - 10 times per month","I stopped in the recent past","No","Yes","No","No","","Yes if I get part of the profit","Yes if consumers get part of the profit","I don't know","No","Yes","KS",39.99,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
"7","R_2cuOE8Vi57bFRM8","25 - 34 years","No","White or Caucasian","Bachelor's degree","$75,000 - $99,999","Female","heterosexual (straight)","Michigan","2","4+","More than 10 times per month","No","No","No","No","No","","I don't know","I don't know","I don't know","I don't know","I don't know","MI",89.98,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
"8","R_1LBb6RJC62dh4y4","25 - 34 years","No","Asian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$100,000 - $149,999","Male","heterosexual (straight)","California","2","2","Less than 5 times per month","No","No","Yes","No","No","Moved place of residence","No","No","No","I don't know","I don't know","CA",43.39,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0
"9","R_R38GYKD6oUDOIF3","35 - 44 years","No","Black or African American","High school diploma or GED","Less than $25,000","Male","heterosexual (straight)","North Carolina","1 (just me!)","1 (just me!)","Less than 5 times per month","No","No","No","No","No","","Yes if I get part of the profit","Yes if consumers get part of the profit","Yes","Yes","Yes","NC",0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0
"10","R_2U9mEuhxpSv5aA7","25 - 34 years","No","White or Caucasian","Bachelor's degree","$150,000 or more","Female","heterosexual (straight)","Indiana","1 (just me!)","4+","More than 10 times per month","No","No","No","No","No","","Yes if I get part of the profit","No","No","I don't know","I don't know","IN",428.72,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0
