"Order.Date","Purchase.Price.Per.Unit","Quantity","Shipping.Address.State","Title","ASIN.ISBN..Product.Code.","Category","Survey.ResponseID"
"2022-08-30",9.79,1,"NE","Hand Grip Strengthener, Finger Exerciser, Grip Strength Trainer (6 PCS),New Material,Forearm Grip Workout, Finger Stretcher, Relieve Wrist Pain, Carpal Tunnel (Large)","B07W847QSD","HAND_STRENGTHENER","R_06RZP9pS7kONINr"
"2018-01-15",22.95,1,"TX","Foam Roller, LuxFit Speckled Foam Rollers for Muscles '3 Year Warranty' High Density Foam Roller for Physical Therapy, Exercise, Deep Tissue Muscle Massage. Back, Leg, Body Roller (Blue, 36 Inch)","B01BW2YZ1O","MUSCLE_ROLLER","R_0BCm9hRP9iTI081"
"2018-06-25",29.99,1,"TX","SuperMats Made in U.S.A. for Indoor Cycles Recumbent Bikes Upright Exercise Bikes and Steppers","B001THTUAO","EXERCISE_MAT","R_0BCm9hRP9iTI081"
"2021-10-03",27.39,1,"CO","Sunny Health & Fitness Home Gym Foam Floor Protector Mat for Fitness & Exercise Equipment - Available in 4 Size Options","B01GSMN9WY","EXERCISE_MAT","R_0BCm9hRP9iTI081"
"2020-07-28",13.99,1,"UT","Sunny Health & Fitness Non-Slip Thick and Wide Exercise Yoga Mat - Size 68 in x 24 in","B007W0S26K","EXERCISE_MAT","R_0DoXqOQl0hxEeFH"
"2020-06-26",149.99,1,"MI","CAP Barbell 3 Tier Dumbbell Rack, 51""","B00ZEYSVDU","WEIGHT_RACK","R_0HStFOjenTsm8H7"
"2020-03-01",12.99,1,"IL","Hawk Fitness Dip Belt with Chain For Men & Women Dipping Pull Up Belt Chin up Bar New Weightlifting Belt Weight Lifting Training Gym Bodybuilding Workout Belts","B01MFAWSW8","WEIGHTLIFTING_BELT","R_0Hzrb8hEmXavTk5"
"2020-07-05",49.99,1,"IL","Whatafit Resistance Bands Set, Exercise Bands with Door Anchor, Handles, Carry Bag, Legs Ankle Straps for Resistance Training, Physical Therapy, Home Workouts","B07Y5YXWTY","EXERCISE_BAND","R_0Hzrb8hEmXavTk5"
"2021-09-20",10.99,1,"IL","steelway Hand Grip Exerciser Strengthener 2 Pack,Grip Trainer, Finger Forearm Exerciser with Counter, Adjustable Resistance from 11-132 LB, Portable Forearm Exercise Equipment","B08P3F2QTZ","HAND_STRENGTHENER","R_0Hzrb8hEmXavTk5"
"2022-11-20",21.95,1,"IL","Victorem Arm Resistance Band for Working Out -Stretching J-Resistance Bands with Handles for Muscle Mobility, Baseball/Softball Exercise Bands Resistance Tube Set-Resistant Band Workout Guide Included","B06VSPR1X4","EXERCISE_BAND","R_0Hzrb8hEmXavTk5"
"2023-01-24",14.99,1,"IL","Ankle Straps (Pair) For Cable Machine Kickbacks, Glute Workouts, Lower Body Exercises - Adjustable Leg Straps with Neoprene Padding","B0849VC9KY","EXERCISE_STRAP","R_0Hzrb8hEmXavTk5"
"2021-04-11",19.99,1,"NY","Resistance Bands Set 13pcs, Workout Bands Recredo, Exercise Bands Set with Door Anchor, Handles and Ankle Straps, Stackable Up to 150 lbs, for Resistance Training, Physical Therapy, Home Workouts","B087CYBZDX","EXERCISE_BAND","R_0cS0LOVu2KdO1ix"
"2021-10-06",11.99,1,"NY","Renoj Resistance Bands, Exercise Workout Bands for Women and Men, 5 Set of Stretch Bands for Booty Legs, Pilates Flexbands","B08DLXZKF7","EXERCISE_BAND","R_0cS0LOVu2KdO1ix"
"2021-10-14",4.99,1,"NY","AllOne Wellness Resistance Bands for Legs and Butt | Set of 5 Exercise Band Loops 12 Inch for Workouts, Stretching, Physical Therapy, and More | Made of Natural Latex Rubber for Both Men and Women","B08MCTY83Y","EXERCISE_BAND","R_0cS0LOVu2KdO1ix"
